"","tratamientos","prueba","cuadrante","emmean","SE","df","lower.CL","upper.CL"
"1","Flx","P-1","cuadrante_ne",35.9833333333335,2.61488137207025,240.000000000005,30.8322847024862,41.1343819641808
"2","Flx-CUMS","P-1","cuadrante_ne",32.1333333333332,2.13084327297462,239.999999999984,27.9357902091814,36.3308764574849
"3","Sal-CUMS-F","P-1","cuadrante_ne",25.875,2.26126370874995,239.999999999984,21.4205419678487,30.3294580321513
"4","Flx","P-2","cuadrante_ne",21.0500000000001,2.60878906626497,239.99999999998,15.9109525879508,26.1890474120494
"5","Flx-CUMS","P-2","cuadrante_ne",19.8555555555555,2.12845808813873,240.000000000001,15.6627110013712,24.0484001097399
"6","Sal-CUMS-F","P-2","cuadrante_ne",23.475,2.2590690849217,240.000000000001,19.0248651521379,27.9251348478621
"7","Flx","P-Rev","cuadrante_ne",9.19999999999988,2.60878906626497,239.99999999998,4.06095258795059,14.3390474120492
"8","Flx-CUMS","P-Rev","cuadrante_ne",7.76666666666668,2.12845808813873,240.000000000001,3.57382211248234,11.959511220851
"9","Sal-CUMS-F","P-Rev","cuadrante_ne",16.3875,2.2590690849217,240.000000000001,11.9373651521379,20.8376348478621
"10","Flx","P-1","cuadrante_no",8.0833333333333,2.61488137207024,239.999999999997,2.93228470248605,13.2343819641805
"11","Flx-CUMS","P-1","cuadrante_no",8.68888888888889,2.13084327297462,240.000000000001,4.49134576473711,12.8864320130407
"12","Sal-CUMS-F","P-1","cuadrante_no",7.1375,2.26126370874995,240.000000000001,2.68304196784873,11.5919580321513
"13","Flx","P-2","cuadrante_no",13.4333333333333,2.60878906626497,240.000000000001,8.29428592128404,18.5723807453826
"14","Flx-CUMS","P-2","cuadrante_no",16.2333333333333,2.12845808813874,239.999999999997,12.040488779149,20.4261778875177
"15","Sal-CUMS-F","P-2","cuadrante_no",9.68750000000001,2.2590690849217,240.000000000001,5.23736515213788,14.1376348478621
"16","Flx","P-Rev","cuadrante_no",9.98333333333334,2.60878906626497,240.000000000001,4.84428592128405,15.1223807453826
"17","Flx-CUMS","P-Rev","cuadrante_no",8.33333333333335,2.12845808813873,239.999999999997,4.140488779149,12.5261778875177
"18","Sal-CUMS-F","P-Rev","cuadrante_no",11.1375,2.25906908492169,240.000000000005,6.6873651521379,15.5876348478621
"19","Flx","P-1","cuadrante_se",12.4166666666666,2.61488137207023,239.999999999992,7.26561803581938,17.5677152975139
"20","Flx-CUMS","P-1","cuadrante_se",13.1,2.13084327297462,240.000000000005,8.90245687584822,17.2975431241518
"21","Sal-CUMS-F","P-1","cuadrante_se",17.9125,2.26126370874995,240.000000000001,13.4580419678487,22.3669580321513
"22","Flx","P-2","cuadrante_se",16.6333333333333,2.60878906626497,240.000000000001,11.494285921284,21.7723807453826
"23","Flx-CUMS","P-2","cuadrante_se",11.5555555555556,2.12845808813874,240.000000000001,7.3627110013712,15.7484001097399
"24","Sal-CUMS-F","P-2","cuadrante_se",16.6,2.2590690849217,240.000000000005,12.1498651521379,21.0501348478621
"25","Flx","P-Rev","cuadrante_se",13.7833333333333,2.60878906626497,240.000000000001,8.64428592128406,18.9223807453826
"26","Flx-CUMS","P-Rev","cuadrante_se",11.9444444444444,2.12845808813873,240.000000000005,7.7515998902601,16.1372889986288
"27","Sal-CUMS-F","P-Rev","cuadrante_se",18.6875,2.2590690849217,239.999999999997,14.2373651521379,23.1376348478621
"28","Flx","P-1","cuadrante_so",3.48333333333335,2.61488137207023,239.999999999992,-1.6677152975139,8.6343819641806
"29","Flx-CUMS","P-1","cuadrante_so",6.12222222222224,2.13084327297462,240.000000000001,1.92467909807046,10.319765346374
"30","Sal-CUMS-F","P-1","cuadrante_so",9.08750000000001,2.26126370874995,240.000000000001,4.63304196784874,13.5419580321513
"31","Flx","P-2","cuadrante_so",8.85000000000001,2.60878906626497,240.000000000001,3.71095258795072,13.9890474120493
"32","Flx-CUMS","P-2","cuadrante_so",12.3555555555556,2.12845808813873,240.000000000001,8.16271100137122,16.5484001097399
"33","Sal-CUMS-F","P-2","cuadrante_so",10.2375,2.2590690849217,240.000000000001,5.78736515213788,14.6876348478621
"34","Flx","P-Rev","cuadrante_so",27.0833333333334,2.60878906626497,240.000000000001,21.9442859212841,32.2223807453827
"35","Flx-CUMS","P-Rev","cuadrante_so",31.9888888888889,2.12845808813874,239.999999999997,27.7960443347045,36.1817334430733
"36","Sal-CUMS-F","P-Rev","cuadrante_so",13.8,2.2590690849217,240.000000000005,9.34986515213789,18.2501348478621
