id,animal,entropia,metodo
32,37-3,9.28,Crooke
22,37-3,9.31,Crooke
16,37-3,9.68,Crooke
38,37-3,9.71,Crooke
20,37-3,9.76,Crooke
28,37-3,9.8,Crooke
17,37-3,9.92,Crooke
37,37-3,9.96,Crooke
8,37-3,10.43,Crooke
47,37-3,10.48,Crooke
11,37-3,10.64,Crooke
44,37-3,10.69,Crooke
26,37-3,10.81,Crooke
46,37-3,10.93,Crooke
43,37-3,11.04,Crooke
27,37-3,11.24,Crooke
45,37-3,11.26,Crooke
15,37-3,11.29,Crooke
18,37-3,11.3,Crooke
35,37-3,11.32,Crooke
41,37-3,11.33,Crooke
30,37-3,11.68,Crooke
24,37-3,11.73,Crooke
31,37-3,11.73,Crooke
12,37-3,11.85,Crooke
25,37-3,12.07,Crooke
49,37-3,12.08,Crooke
5,37-3,12.12,Crooke
14,37-3,12.43,Crooke
6,37-3,12.54,Crooke
48,37-3,12.62,Crooke
9,37-3,12.8,Crooke
10,37-3,12.86,Crooke
7,37-3,13.16,Crooke
21,37-3,13.17,Crooke
40,37-3,13.22,Crooke
42,37-3,13.22,Crooke
19,37-3,13.26,Crooke
50,37-3,13.44,Crooke
33,37-3,13.46,Crooke
3,37-3,13.8,Crooke
34,37-3,14.11,Crooke
39,37-3,14.33,Crooke
4,37-3,14.51,Crooke
1,37-3,14.72,Crooke
2,37-3,14.79,Crooke
32,37-3,9.366966116,Santiago
22,37-3,9.428100145,Santiago
16,37-3,9.587338011,Santiago
38,37-3,9.687340702,Santiago
20,37-3,9.729971948,Santiago
28,37-3,10.31919154,Santiago
17,37-3,10.36982648,Santiago
37,37-3,10.64043083,Santiago
8,37-3,10.9126632,Santiago
47,37-3,10.94558873,Santiago
11,37-3,10.95858298,Santiago
44,37-3,11.01446267,Santiago
26,37-3,11.25208983,Santiago
46,37-3,11.33506869,Santiago
43,37-3,11.43811124,Santiago
27,37-3,11.52790031,Santiago
45,37-3,11.62074291,Santiago
15,37-3,11.82526233,Santiago
18,37-3,11.82999358,Santiago
35,37-3,11.8760351,Santiago
41,37-3,11.94011629,Santiago
30,37-3,11.94043308,Santiago
24,37-3,11.95619609,Santiago
31,37-3,11.98578085,Santiago
12,37-3,12.04058166,Santiago
25,37-3,12.06300175,Santiago
49,37-3,12.12829526,Santiago
5,37-3,12.13629755,Santiago
14,37-3,12.32579255,Santiago
6,37-3,12.37645628,Santiago
48,37-3,12.49111964,Santiago
9,37-3,12.51386827,Santiago
10,37-3,12.55644825,Santiago
7,37-3,12.6325929,Santiago
21,37-3,12.86228681,Santiago
40,37-3,12.89952448,Santiago
42,37-3,13.03131276,Santiago
19,37-3,13.12666529,Santiago
50,37-3,13.19165734,Santiago
33,37-3,13.30486462,Santiago
3,37-3,13.53529957,Santiago
34,37-3,13.64586743,Santiago
39,37-3,13.68960536,Santiago
4,37-3,13.90236216,Santiago
1,37-3,14.31231513,Santiago
2,37-3,14.63349864,Santiago
