"","dia","tratamiento","estrategias_hipo","emmean","SE","df","asymp.LCL","asymp.UCL"
"1",1,"Flx","hipocampo_dependientes",3.2188758248682,0.199999999996834,Inf,2.82688302796639,3.61086862177
"2",2,"Flx","hipocampo_dependientes",2.99573227355399,0.22360679774136,Inf,2.55747100328259,3.43399354382539
"3",1,"Flx-CUMS","hipocampo_dependientes",2.39789527279837,0.301511344452125,Inf,1.80694389674196,2.98884664885479
"4",2,"Flx-CUMS","hipocampo_dependientes",3.13549421592915,0.208514414052471,Inf,2.72681347412883,3.54417495772947
"5",1,"Sal-CUMS-F","hipocampo_dependientes",2.39789527279837,0.301511344452125,Inf,1.80694389674196,2.98884664885479
"6",2,"Sal-CUMS-F","hipocampo_dependientes",3.2188758248682,0.199999999996833,Inf,2.8268830279664,3.61086862177
"7",1,"Salina-Control","hipocampo_dependientes",2.484906649788,0.28867513450971,Inf,1.91911378291671,3.05069951665929
"8",2,"Salina-Control","hipocampo_dependientes",3.40119738166216,0.18257418583366,Inf,3.04335855292146,3.75903621040285
"9",1,"Flx","hipocampo_independientes",2.30258509299405,0.316227765824376,Inf,1.6827900610667,2.92238012492139
"10",2,"Flx","hipocampo_independientes",2.30258509299405,0.316227765824376,Inf,1.6827900610667,2.92238012492139
"11",1,"Flx-CUMS","hipocampo_independientes",2.484906649788,0.28867513450971,Inf,1.91911378291672,3.05069951665929
"12",2,"Flx-CUMS","hipocampo_independientes",1.38629436111989,0.499999988572799,Inf,0.406312391246768,2.36627633099302
"13",1,"Sal-CUMS-F","hipocampo_independientes",3.04452243772342,0.218217890229068,Inf,2.61682323209214,3.47222164335471
"14",2,"Sal-CUMS-F","hipocampo_independientes",2.39789527279837,0.301511344452124,Inf,1.80694389674195,2.98884664885478
"15",1,"Salina-Control","hipocampo_independientes",3.2188758248682,0.199999999996835,Inf,2.82688302796639,3.61086862177001
"16",2,"Salina-Control","hipocampo_independientes",2.19722457733622,0.333333333025032,Inf,1.54390324976046,2.85054590491198
"17",1,"Flx","perseverancia",4.67597627284988e-11,0.999995164711958,Inf,-1.95995450750288,1.9599545075964
"18",2,"Flx","perseverancia",NA,NA,NA,NA,NA
"19",1,"Flx-CUMS","perseverancia",1.6094379124341,0.447213591258316,Inf,0.732915380170981,2.48596044469721
"20",2,"Flx-CUMS","perseverancia",4.67578198382057e-11,0.999995164711954,Inf,-1.95995450750287,1.95995450759639
"21",1,"Sal-CUMS-F","perseverancia",1.79175946922806,0.408248288580113,Inf,0.99160752686092,2.59191141159519
"22",2,"Sal-CUMS-F","perseverancia",1.38629436111989,0.499999988572803,Inf,0.406312391246757,2.36627633099302
"23",1,"Salina-Control","perseverancia",1.09861228866812,0.577350228382975,Inf,-0.0329733654284863,2.23019794276473
"24",2,"Salina-Control","perseverancia",4.67609284626747e-11,0.999995164711954,Inf,-1.95995450750287,1.95995450759639
