"","dia","tratamiento","estrategias_hipo","rate","SE","df","asymp.LCL","asymp.UCL"
"1",1,"Flx","hipocampo_dependientes",1.77337178205208,0.385180579112606,Inf,1.15855535538461,2.71445594961197
"2",2,"Flx","hipocampo_dependientes",2.27736531500879,0.314181891084706,Inf,1.73780970477613,2.98444229178317
"3",3,"Flx","hipocampo_dependientes",2.92459417167651,0.316706689994229,Inf,2.36531126564318,3.6161207166442
"4",4,"Flx","hipocampo_dependientes",3.75576593383359,0.596917994029039,Inf,2.75051399053456,5.12841519740953
"5",1,"Flx-CUMS","hipocampo_dependientes",2.24101071841392,0.491968432183581,Inf,1.45740382875082,3.44594198325298
"6",2,"Flx-CUMS","hipocampo_dependientes",2.6101226208851,0.377807320551827,Inf,1.96540507373812,3.46632874163623
"7",3,"Flx-CUMS","hipocampo_dependientes",3.0400301257273,0.459064850636451,Inf,2.26120933608595,4.08709756228349
"8",4,"Flx-CUMS","hipocampo_dependientes",3.54074674169738,0.820867702799032,Inf,2.24779588210588,5.577413673832
"9",1,"Sal-CUMS-F","hipocampo_dependientes",2.03392051845907,0.360277787421948,Inf,1.43733067765522,2.87813565779964
"10",2,"Sal-CUMS-F","hipocampo_dependientes",2.4657277815929,0.276675263019065,Inf,1.97894261977621,3.07225355205428
"11",3,"Sal-CUMS-F","hipocampo_dependientes",2.98920898714627,0.252741416131919,Inf,2.53271374806444,3.52798273222334
"12",4,"Sal-CUMS-F","hipocampo_dependientes",3.62382678069337,0.444584442365855,Inf,2.84930462929956,4.60888611257362
"13",1,"Salina-Control","hipocampo_dependientes",1.48976545874282,0.346657644382469,Inf,0.944168396798251,2.35064118814966
"14",2,"Salina-Control","hipocampo_dependientes",1.97447287646896,0.296529571791964,Inf,1.47101238659402,2.65024494385005
"15",3,"Salina-Control","hipocampo_dependientes",2.61688383029198,0.289005150689364,Inf,2.10755483752874,3.24930144606511
"16",4,"Salina-Control","hipocampo_dependientes",3.46830845987127,0.526822744364948,Inf,2.57527414433772,4.67102253919771
"17",1,"Flx","hipocampo_independientes",2.63929422895784,0.486314526786371,Inf,1.83927217716891,3.78729919012439
"18",2,"Flx","hipocampo_independientes",2.14342265937394,0.284079045993566,Inf,1.65307901596547,2.77921421320228
"19",3,"Flx","hipocampo_independientes",1.74071562249873,0.332219109551498,Inf,1.19749658860465,2.53035449724487
"20",4,"Flx","hipocampo_independientes",1.41366933169224,0.425343504962511,Inf,0.783861100834835,2.5495090612849
"21",1,"Flx-CUMS","hipocampo_independientes",2.28715242571503,0.531802242622597,Inf,1.45002711188718,3.60756442108592
"22",2,"Flx-CUMS","hipocampo_independientes",1.86573393952776,0.36045139670472,Inf,1.27761913078378,2.72457029582074
"23",3,"Flx-CUMS","hipocampo_independientes",1.52196377205491,0.469765166310058,Inf,0.831141139927868,2.78697998711584
"24",4,"Flx-CUMS","hipocampo_independientes",1.24153485894881,0.592692996097239,Inf,0.487086503882342,3.16454837836645
"25",1,"Sal-CUMS-F","hipocampo_independientes",2.18650610507539,0.398196723175079,Inf,1.53014882165054,3.12440782222411
"26",2,"Sal-CUMS-F","hipocampo_independientes",1.81496795803468,0.236322373521055,Inf,1.406164626785,2.34261950979671
"27",3,"Sal-CUMS-F","hipocampo_independientes",1.50656276744262,0.279034239052775,Inf,1.04793434541548,2.16590989900658
"28",4,"Sal-CUMS-F","hipocampo_independientes",1.25056277836559,0.365059633609534,Inf,0.705709413560861,2.21607822225626
"29",1,"Salina-Control","hipocampo_independientes",3.27129889779533,0.511449006310283,Inf,2.40790694678141,4.44427326937248
"30",2,"Salina-Control","hipocampo_independientes",2.5877262632757,0.293024716049003,Inf,2.07267574313363,3.23076450131211
"31",3,"Salina-Control","hipocampo_independientes",2.04699338790466,0.3240150258445,Inf,1.50100184780189,2.7915901211325
"32",4,"Salina-Control","hipocampo_independientes",1.61925238754627,0.400389893868576,Inf,0.997331027488163,2.62899500998973
